gender_identity,wage,education
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,0-$10k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
Non-Trans,$10k-$20k,No HS Degree
